gameid	context	NormedTypicality	UtteranceType	Color	ColorAndType	Type	ColorMentioned	ItemMentioned	Other	Item	TargetColor	Target	Dist1	Dist2	UttforBDA
7081-3	informative	0.812	type	0	0	1	FALSE	TRUE	FALSE	avocado	black	black_avocado	orange_carrot	green_avocado	avocado
7081-3	informative-cc	0.565	color_and_type	0	1	0	TRUE	TRUE	FALSE	carrot	brown	brown_carrot	orange_carrot	brown_banana	brown_carrot
7081-3	overinformative-cc	0.841	color_and_type	0	1	0	TRUE	TRUE	FALSE	pepper	orange	orange_pepper	red_apple	green_avocado	orange_pepper
7081-3	overinformative-cc	0.962	color_and_type	0	1	0	TRUE	TRUE	FALSE	tomato	red	red_tomato	purple_carrot	yellow_pear	red_tomato
7081-3	informative-cc	0.953	color_and_type	0	1	0	TRUE	TRUE	FALSE	apple	red	red_apple	blue_apple	red_tomato	red_apple
7963-8	overinformative-cc	0.696	OTHER	0	0	0	TRUE	TRUE	TRUE	avocado	red	red_avocado	red_apple	blue_banana	other
7963-8	informative	0.953	color_and_type	0	1	0	TRUE	TRUE	FALSE	pear	green	green_pear	red_pepper	orange_pear	green_pear
7963-8	informative	0.738	color_and_type	0	1	0	TRUE	TRUE	FALSE	tomato	green	green_tomato	orange_pear	red_tomato	green_tomato
7963-8	overinformative	0.565	type	0	0	1	FALSE	TRUE	FALSE	carrot	brown	brown_carrot	green_pear	red_apple	carrot
7963-8	informative	0.686	color	1	0	0	TRUE	FALSE	FALSE	pear	orange	orange_pear	green_pear	black_avocado	orange
7963-8	informative	0.979	color	1	0	0	TRUE	FALSE	FALSE	banana	yellow	yellow_banana	brown_banana	blue_apple	yellow
7963-8	overinformative	0.961	color	1	0	0	TRUE	FALSE	FALSE	apple	green	green_apple	yellow_banana	red_tomato	green
7963-8	informative	0.657	color	1	0	0	TRUE	FALSE	FALSE	banana	brown	brown_banana	yellow_banana	green_apple	brown
7963-8	overinformative-cc	0.738	color_and_type	0	1	0	TRUE	TRUE	FALSE	tomato	green	green_tomato	red_tomato	blue_apple	green_tomato
7963-8	informative	0.565	color_and_type	0	1	0	TRUE	TRUE	FALSE	carrot	brown	brown_carrot	green_avocado	purple_carrot	brown_carrot
7963-8	informative-cc	0.503	color_and_type	0	1	0	TRUE	TRUE	FALSE	carrot	purple	purple_carrot	purple_tomato	orange_carrot	purple_carrot
