Item,Color,Utterance,Typicality,CI.low,CI.high
pepper,black,green tomato,0.02,0.00526315789473684,0.0405394736842105
pepper,black,orange carrot,0.03,0.01125,0.050625
pepper,black,orange pear,0.056,0.0177638888888889,0.108888888888889
pepper,black,orange pepper,0.138,0.107725177304965,0.167310283687943
pepper,black,purple carrot,0.038,0.0122884615384615,0.06925
pepper,black,purple tomato,0.138,0,0.414
pepper,black,red apple,0.031,0.0121052631578947,0.0552631578947368
pepper,black,red avocado,0.037,0.0107142857142857,0.0728571428571429
pepper,black,red pepper,0.184,0.150581439393939,0.218653409090909
pepper,black,red tomato,0.04,0.01,0.0866875
pepper,black,yellow banana,0.046,0.0192307692307692,0.0784615384615385
pepper,black,yellow pear,0.033,0.00357142857142857,0.0800178571428571
pepper,green,black avocado,0.053,0.0256413043478261,0.0856521739130435
pepper,green,black pepper,0.157,0.122191176470588,0.192439338235294
pepper,green,blue apple,0.006,0.00133333333333333,0.0113333333333333
pepper,green,blue banana,0.048,0.0135714285714286,0.0985714285714286
pepper,green,brown banana,0.039,0.0194117647058824,0.0629558823529412
pepper,green,brown carrot,0.007,0.000909090909090909,0.0163636363636364
pepper,green,green apple,0.135,0.0429411764705882,0.252985294117647
pepper,green,green avocado,0.186,0.0624791666666667,0.343395833333333
pepper,green,green pear,0.235,0.0493333333333333,0.450016666666667
pepper,green,green pepper,0.968,0.953791379310345,0.980277586206897
pepper,green,green tomato,0.186,0.0633333333333333,0.353375
pepper,green,orange carrot,0.021,0,0.046025
pepper,green,orange pear,0.047,0.0142857142857143,0.0842857142857143
pepper,green,orange pepper,0.196,0.160426258992806,0.232447841726619
pepper,green,purple carrot,0.012,0.00333333333333333,0.0244444444444444
pepper,green,purple tomato,0.007,0,0.02
pepper,green,red apple,0.012,0.005,0.019
pepper,green,red avocado,0.042,0.015,0.0738888888888889
pepper,green,red pepper,0.21,0.171193609022556,0.249105263157895
pepper,green,red tomato,0.058,0.0247236842105263,0.0989605263157895
pepper,green,yellow banana,0.022,0.003,0.049
pepper,green,yellow pear,0.021,0.005625,0.040015625
pepper,orange,black avocado,0.035,0.0055,0.0860125
pepper,orange,black pepper,0.17,0.139214285714286,0.2022875
pepper,orange,blue apple,0.042,0.00333333333333333,0.111333333333333
pepper,orange,blue banana,0.011,0.00285714285714286,0.0200178571428571
pepper,orange,brown banana,0.062,0.01,0.155789473684211
pepper,orange,brown carrot,0.026,0.00652173913043478,0.0482717391304348
pepper,orange,green apple,0.011,0.003,0.02
pepper,orange,green avocado,0.043,0.0109523809523809,0.0924047619047619
pepper,orange,green pear,0.086,0.0441666666666667,0.132927083333333
pepper,orange,green pepper,0.219,0.184744604316547,0.252523381294964
pepper,orange,green tomato,0.072,0.0305263157894737,0.125263157894737
pepper,orange,orange carrot,0.116,0.0469875,0.202
pepper,orange,orange pear,0.178,0.0549791666666667,0.348395833333333
pepper,orange,orange pepper,0.891,0.850273381294964,0.930935251798561
pepper,orange,purple carrot,0.029,0.00666666666666667,0.0540166666666667
pepper,orange,purple tomato,0.046,0.0133333333333333,0.0800277777777778
pepper,orange,red apple,0.021,0.00714285714285714,0.0395357142857143
pepper,orange,red avocado,0.055,0.02,0.103884615384615
pepper,orange,red pepper,0.344,0.2994,0.38787962962963
pepper,orange,red tomato,0.111,0.0299791666666667,0.209614583333333
pepper,orange,yellow banana,0.038,0.0172222222222222,0.0633472222222222
pepper,orange,yellow pear,0.074,0.014359375,0.15940625
pepper,red,black avocado,0.051,0.0141666666666667,0.0975208333333333
pepper,red,black pepper,0.17,0.137825539568345,0.202169064748201
pepper,red,blue apple,0.012,0.00428571428571429,0.0214464285714286
pepper,red,blue banana,0.013,0.00545454545454545,0.0218181818181818
pepper,red,brown banana,0.027,0.00956521739130435,0.0495760869565217
pepper,red,brown carrot,0.029,0.0111111111111111,0.0555694444444444
pepper,red,green apple,0.039,0.0183333333333333,0.0622222222222222
pepper,red,green avocado,0.043,0.0190681818181818,0.0718181818181818
pepper,red,green pear,0.046,0.0166666666666667,0.0814404761904762
pepper,red,green pepper,0.221,0.184085766423358,0.260293795620438
pepper,red,green tomato,0.038,0.0075,0.0758333333333333
pepper,red,orange carrot,0.022,0.00714285714285714,0.0414285714285714
pepper,red,orange pear,0.056,0.0304761904761905,0.0871547619047619
pepper,red,orange pepper,0.296,0.257443430656934,0.338197080291971
pepper,red,purple carrot,0.026,0,0.0714285714285714
pepper,red,purple tomato,0.073,0.00333333333333333,0.19
pepper,red,red apple,0.082,0.0238461538461539,0.151538461538462
pepper,red,red avocado,0.06,0.00545454545454545,0.146386363636364
pepper,red,red pepper,0.961,0.938064285714286,0.978930357142857
pepper,red,red tomato,0.261,0.148475,0.398525
pepper,red,yellow banana,0.028,0.0107692307692308,0.0461538461538462
pepper,red,yellow pear,0.066,0.0230576923076923,0.116923076923077
tomato,green,black avocado,0.032,0.0117647058823529,0.0535294117647059
tomato,green,black pepper,0.022,0.00586764705882353,0.0405882352941176
tomato,green,blue apple,0.096,0.00946052631578947,0.212631578947368
tomato,green,blue banana,0.052,0.010625,0.1125
tomato,green,brown banana,0.016,0.007,0.027
tomato,green,brown carrot,0.046,0.0166666666666667,0.0911111111111111
tomato,green,green apple,0.335,0.112875,0.602125
tomato,green,green avocado,0.083,0.027975,0.15405
tomato,green,green pear,0.037,0.00833333333333333,0.0700208333333333
tomato,green,green pepper,0.196,0.098475,0.30355
tomato,green,green tomato,0.937,0.9077484375,0.962384375
tomato,green,orange carrot,0.017,0.00642857142857143,0.0292857142857143
tomato,green,orange pear,0.041,0.004,0.093
tomato,green,orange pepper,0.105,0.0481818181818182,0.168204545454545
tomato,green,purple carrot,0.048,0.00444444444444445,0.107833333333333
tomato,green,purple tomato,0.104,0.0622594339622642,0.148122641509434
tomato,green,red apple,0.096,0.0347717391304348,0.168717391304348
tomato,green,red avocado,0.046,0.00571428571428571,0.114303571428571
tomato,green,red pepper,0.033,0.0152631578947368,0.0563157894736842
tomato,green,red tomato,0.239,0.2066796875,0.272565625
tomato,green,yellow banana,0.053,0.0194117647058824,0.100014705882353
tomato,green,yellow pear,0.039,0.015,0.06625
tomato,purple,black avocado,0.017,0.00578947368421053,0.0315789473684211
tomato,purple,black pepper,0.03,0.0092,0.0572
tomato,purple,blue apple,0.079,0.0358333333333333,0.127520833333333
tomato,purple,blue banana,0.052,0.00998214285714286,0.100714285714286
tomato,purple,brown banana,0.016,0.00266666666666667,0.044
tomato,purple,brown carrot,0.055,0.0107142857142857,0.112160714285714
tomato,purple,green apple,0.058,0.022,0.108683333333333
tomato,purple,green avocado,0.03,0.008,0.058
tomato,purple,green pear,0.016,0.005,0.0322222222222222
tomato,purple,green pepper,0.014,0.00214285714285714,0.0335714285714286
tomato,purple,green tomato,0.158,0.1303671875,0.1883140625
tomato,purple,orange carrot,0.012,0.00411764705882353,0.0217794117647059
tomato,purple,orange pear,0.026,0.00611111111111111,0.0511111111111111
tomato,purple,orange pepper,0.037,0.00736842105263158,0.0752763157894737
tomato,purple,purple carrot,0.006,0.00108333333333333,0.0111111111111111
tomato,purple,purple tomato,0.816,0.724462765957447,0.89831914893617
tomato,purple,red apple,0.027,0.01,0.0466666666666667
tomato,purple,red avocado,0.061,0.0149791666666667,0.115041666666667
